frame,channel_id,x,y,area,length,mean_intensity,is_dividing
0,9,859,695,245.0,33,76.42402826855124,True
0,13,1163,693,166.0,23,71.12886597938144,True
0,21,1771,693,161.0,21,76.34408602150538,True
0,22,1848,691,169.5,21,83.81538461538462,True
0,10,936,699,116.5,20,59.702127659574465,True
0,3,406,699,85.0,16,58.31132075471698,True
1,21,1769,693,176.5,23,49.36274509803921,True
1,0,172,696,205.0,27,56.889830508474574,True
1,13,1161,696,168.5,24,44.09137055837563,True
1,22,1843,692,183.5,22,63.63033175355451,True
1,3,403,699,99.5,17,39.404958677685954,True
2,14,1239,694,175.0,22,87.16831683168317,True
2,17,1469,692,267.0,35,84.19281045751634,True
2,3,407,700,95.0,18,60.68376068376069,True
3,14,1239,696,184.0,23,86.04265402843602,True
3,6,632,700,129.0,19,67.1907894736842,True
4,14,1240,696,185.0,24,88.85915492957747,True
4,22,1848,693,185.0,23,93.95794392523364,True
4,10,938,702,122.0,25,58.443708609271525,True
4,4,481,697,169.0,21,91.46153846153847,True
5,22,1848,692,186.5,24,86.9906976744186,True
5,10,937,700,151.0,26,61.790055248618785,True
5,13,1164,697,116.0,17,70.33333333333333,True
5,21,1772,694,184.0,24,75.63849765258216,True
6,14,1240,695,191.5,24,87.61538461538463,True
6,10,936,701,188.0,30,63.626126126126124,True
7,5,558,696,138.0,23,61.42424242424242,True
7,14,1240,694,200.0,25,93.62608695652175,True
7,16,1393,694,304.0,39,82.36781609195403,True
7,21,1772,694,198.5,26,74.68558951965065,True
7,3,407,700,101.0,18,58.081300813008134,True
8,14,1240,694,213.5,26,85.73770491803279,True
8,0,176,698,226.5,28,76.54054054054055,True
8,13,1165,695,94.0,16,57.359649122807014,True
8,10,937,703,189.0,30,59.65022421524664,True
8,21,1774,694,184.0,26,76.3644859813084,True
8,5,557,695,167.0,25,62.76020408163265,True
8,15,1316,693,231.5,28,87.97727272727273,True
9,3,406,701,121.0,19,67.34722222222221,True
9,21,1774,692,210.0,29,77.72950819672131,True
9,20,1696,693,327.0,41,82.45308310991958,True
9,10,938,705,163.0,26,71.08290155440415,True
9,12,1090,697,114.0,18,67.57352941176471,True
9,5,558,696,142.5,23,68.57058823529411,True
9,15,1316,694,227.5,27,97.64478764478764,True
10,3,406,700,135.0,21,60.23125,True
10,12,1091,698,120.0,20,60.15972222222222,True
10,14,1240,695,217.0,26,83.02419354838709,True
10,15,1316,694,250.5,29,82.85915492957747,True
